CMDLINE python3 main.py
MEM 25375.535156 1707719555.8306
MEM 25375.535156 1707719555.9309
MEM 25377.558594 1707719556.0313
MEM 25377.558594 1707719556.1316
MEM 25377.558594 1707719556.2320
MEM 25377.558594 1707719556.3324
MEM 25377.558594 1707719556.4327
MEM 25377.558594 1707719556.5330
MEM 25377.558594 1707719556.6334
MEM 25377.558594 1707719556.7338
MEM 25377.558594 1707719556.8342
MEM 25377.558594 1707719556.9345
MEM 25377.558594 1707719557.0349
MEM 25377.558594 1707719557.1352
MEM 25377.558594 1707719557.2356
MEM 25377.558594 1707719557.3359
MEM 25377.558594 1707719557.4363
MEM 25377.558594 1707719557.5367
MEM 25377.558594 1707719557.6371
MEM 25377.558594 1707719557.7374
MEM 25377.558594 1707719557.8377
MEM 25377.558594 1707719557.9381
MEM 25377.558594 1707719558.0384
MEM 25377.558594 1707719558.1388
MEM 25377.558594 1707719558.2392
MEM 25377.558594 1707719558.3395
MEM 25377.558594 1707719558.4398
MEM 25377.558594 1707719558.5402
MEM 25377.558594 1707719558.6405
MEM 25377.558594 1707719558.7409
MEM 25377.558594 1707719558.8413
MEM 25379.546875 1707719558.9416
MEM 25379.546875 1707719559.0420
MEM 25379.546875 1707719559.1423
MEM 25379.546875 1707719559.2427
MEM 25379.546875 1707719559.3430
MEM 25379.546875 1707719559.4434
MEM 25379.546875 1707719559.5438
MEM 25379.546875 1707719559.6442
MEM 25379.546875 1707719559.7446
MEM 25379.546875 1707719559.8449
MEM 25379.546875 1707719559.9453
MEM 25379.546875 1707719560.0456
MEM 25379.546875 1707719560.1460
MEM 25379.546875 1707719560.2463
MEM 25379.546875 1707719560.3467
MEM 25379.546875 1707719560.4469
MEM 25379.546875 1707719560.5474
MEM 25379.546875 1707719560.6477
MEM 25379.546875 1707719560.7480
MEM 25379.546875 1707719560.8483
MEM 25379.546875 1707719560.9487
MEM 25379.546875 1707719561.0490
MEM 25379.546875 1707719561.1494
MEM 25379.546875 1707719561.2497
MEM 25379.546875 1707719561.3500
MEM 25379.546875 1707719561.4504
MEM 25379.546875 1707719561.5507
MEM 25379.546875 1707719561.6511
MEM 25379.546875 1707719561.7514
MEM 25381.539062 1707719561.8518
MEM 25381.539062 1707719561.9521
MEM 25381.539062 1707719562.0525
MEM 25381.539062 1707719562.1528
MEM 25381.539062 1707719562.2532
MEM 25381.539062 1707719562.3535
MEM 25381.539062 1707719562.4538
MEM 25381.539062 1707719562.5542
MEM 25381.539062 1707719562.6546
MEM 25381.539062 1707719562.7550
MEM 25381.539062 1707719562.8553
MEM 25381.539062 1707719562.9556
MEM 25381.539062 1707719563.0559
MEM 25381.539062 1707719563.1563
MEM 25381.539062 1707719563.2566
MEM 25381.539062 1707719563.3571
MEM 25381.539062 1707719563.4574
MEM 25381.539062 1707719563.5578
MEM 25381.539062 1707719563.6582
MEM 25381.539062 1707719563.7586
MEM 25381.539062 1707719563.8589
MEM 25381.539062 1707719563.9593
MEM 25381.539062 1707719564.0597
MEM 25381.539062 1707719564.1600
MEM 25381.539062 1707719564.2604
